token,provider,lead_cost,contact,purchase,lead_age,lead_duration,field_count,competitors,provider_a,provider_b,provider_c,provider_d
104,C,25,0,0,26,146,17,0,0,0,1,0
105,D,50,0,0,43,726,6,0,0,0,0,1
106,C,50,0,0,1,712,9,3,0,0,1,0
107,C,25,0,0,18,3120,18,0,0,0,1,0
108,C,75,0,0,21,86,14,1,0,0,1,0
109,A,50,0,0,35,729,11,2,1,0,0,0
110,D,50,0,0,1,704,9,0,0,0,0,1
111,C,50,0,0,18,617,6,0,0,0,1,0
112,C,50,0,0,36,967,16,0,0,0,1,0
113,C,50,0,0,41,803,10,2,0,0,1,0
114,D,75,0,0,12,109,18,1,0,0,0,1
115,C,75,0,0,1,111,2,1,0,0,1,0
116,C,100,1,1,1,206,8,0,0,0,1,0
117,B,25,0,0,29,820,9,0,0,1,0,0
118,A,75,0,0,55,69,7,1,1,0,0,0
119,D,50,0,0,1,3216,11,0,0,0,0,1
120,C,25,0,0,54,892,2,0,0,0,1,0
121,C,50,0,0,1,973,15,3,0,0,1,0
122,C,50,0,0,46,896,4,2,0,0,1,0
123,D,50,0,0,70,852,13,0,0,0,0,1
124,A,100,0,0,38,92,21,0,1,0,0,0
125,C,50,0,0,1,921,16,0,0,0,1,0
126,A,50,0,0,46,610,3,2,1,0,0,0
127,B,25,0,0,31,2788,16,0,0,1,0,0
128,D,75,0,0,46,22,8,1,0,0,0,1
129,A,75,1,1,2,683,20,0,1,0,0,0
130,B,25,0,0,9,2213,1,0,0,1,0,0
131,C,25,0,0,4,3309,13,0,0,0,1,0
132,B,100,1,0,34,92,23,0,0,1,0,0
133,C,50,0,0,69,870,19,0,0,0,1,0
134,B,25,0,0,30,936,2,0,0,1,0,0
135,C,50,0,0,77,786,17,2,0,0,1,0
136,C,50,0,0,45,649,19,0,0,0,1,0
137,D,100,1,0,9,85,9,0,0,0,0,1
138,C,100,1,1,1,473,3,0,0,0,1,0
139,B,25,0,0,10,2853,21,0,0,1,0,0
140,C,50,0,0,36,977,16,0,0,0,1,0
141,C,50,0,0,72,764,22,0,0,0,1,0
142,C,50,0,0,66,657,3,0,0,0,1,0
143,C,50,0,0,78,671,11,0,0,0,1,0
144,B,50,0,0,78,945,19,2,0,1,0,0
145,A,100,0,0,26,45,9,0,1,0,0,0
146,B,25,0,0,28,1710,3,0,0,1,0,0
147,C,50,0,0,57,737,17,0,0,0,1,0
148,B,25,0,0,25,1343,17,0,0,1,0,0
149,B,50,1,0,1,496,9,0,0,1,0,0
150,C,50,0,0,80,893,17,0,0,0,1,0
151,C,50,0,0,65,625,9,0,0,0,1,0
152,C,25,0,0,57,172,17,0,0,0,1,0
153,C,75,1,0,55,156,17,0,0,0,1,0
154,A,50,0,0,49,665,21,2,1,0,0,0
155,A,50,0,0,23,907,3,2,1,0,0,0
156,B,50,1,0,9,211,15,0,0,1,0,0
157,D,100,0,0,48,6,6,1,0,0,0,1
158,D,75,1,1,1,434,4,0,0,0,0,1
159,C,50,0,0,43,652,8,0,0,0,1,0
160,C,25,0,0,8,527,8,0,0,0,1,0
161,D,25,0,0,52,606,10,0,0,0,0,1
162,D,75,0,0,49,51,10,1,0,0,0,1
163,D,75,1,0,1,186,6,0,0,0,0,1
164,C,50,0,0,31,773,3,0,0,0,1,0
165,D,50,1,0,2,169,1,0,0,0,0,1
166,C,50,0,0,59,654,8,2,0,0,1,0
167,A,100,1,1,22,144,11,0,1,0,0,0
168,B,25,0,0,62,1936,9,0,0,1,0,0
169,D,50,1,0,29,282,7,0,0,0,0,1
170,B,25,1,0,4,152,8,0,0,1,0,0
171,C,25,0,0,14,1818,13,0,0,0,1,0
172,B,25,0,0,1,1992,21,0,0,1,0,0
173,B,25,1,1,2,25,16,0,0,1,0,0
174,B,50,0,0,36,969,19,2,0,1,0,0
175,B,75,0,0,53,110,10,1,0,1,0,0
176,B,75,0,0,1,105,6,1,0,1,0,0
177,B,25,0,0,7,3362,18,0,0,1,0,0
178,C,25,0,0,9,725,3,0,0,0,1,0
179,D,50,0,0,1,537,19,0,0,0,0,1
180,B,50,0,0,1,764,12,2,0,1,0,0
181,D,25,0,0,2,3219,6,0,0,0,0,1
182,C,50,0,0,42,869,19,2,0,0,1,0
183,A,100,1,0,16,204,22,0,1,0,0,0
184,C,50,0,0,74,712,18,0,0,0,1,0
185,C,75,1,0,13,86,18,2,0,0,1,0
186,A,100,0,0,49,117,17,0,1,0,0,0
187,C,75,1,1,1,46,1,0,0,0,1,0
188,D,50,0,0,24,2715,4,0,0,0,0,1
189,D,75,0,0,9,110,3,1,0,0,0,1
191,B,25,0,0,63,98,21,0,0,1,0,0
192,D,75,0,0,35,86,23,1,0,0,0,1
193,C,75,1,0,1,240,17,1,0,0,1,0
194,B,25,0,0,27,282,15,0,0,1,0,0
195,D,75,1,1,15,342,2,0,0,0,0,1
196,B,75,0,0,80,79,8,1,0,1,0,0
197,C,50,0,0,74,650,11,0,0,0,1,0
198,D,25,0,0,38,562,6,0,0,0,0,1
199,A,100,1,0,38,237,23,0,1,0,0,0
200,C,75,0,0,71,75,18,1,0,0,1,0
201,C,75,0,0,55,111,18,1,0,0,1,0
202,B,50,0,0,44,802,7,2,0,1,0,0
203,A,75,0,0,1,79,5,1,1,0,0,0
204,B,25,0,0,38,2673,12,0,0,1,0,0
205,D,75,0,0,15,50,22,1,0,0,0,1
206,C,25,0,0,72,1359,21,0,0,0,1,0
207,A,75,0,0,64,24,3,1,1,0,0,0
208,C,50,0,0,32,910,12,2,0,0,1,0
209,B,50,0,0,65,800,13,2,0,1,0,0
210,B,25,0,0,1,2789,16,0,0,1,0,0
211,C,50,0,0,1,684,23,2,0,0,1,0
212,B,25,0,0,74,999,5,0,0,1,0,0
213,B,25,0,0,68,1273,4,0,0,1,0,0
214,B,25,0,0,10,2117,16,0,0,1,0,0
215,D,50,0,0,53,1288,12,0,0,0,0,1
216,B,75,1,0,42,104,4,2,0,1,0,0
217,C,50,0,0,1,926,15,2,0,0,1,0
218,C,100,1,0,13,256,21,0,0,0,1,0
219,A,50,0,0,77,792,16,2,1,0,0,0
220,C,50,0,0,15,971,20,0,0,0,1,0
221,B,75,0,0,51,13,13,1,0,1,0,0
222,C,25,0,0,52,3305,17,0,0,0,1,0
223,C,25,0,0,1,1173,2,0,0,0,1,0
224,C,50,0,0,47,794,23,0,0,0,1,0
225,D,50,1,1,3,637,1,0,0,0,0,1
226,C,25,0,0,50,236,12,0,0,0,1,0
227,B,25,0,0,14,795,11,0,0,1,0,0
228,B,25,0,0,47,3409,7,0,0,1,0,0
229,D,75,0,0,27,105,3,1,0,0,0,1
230,D,75,0,0,54,46,7,1,0,0,0,1
231,C,50,0,0,71,995,5,2,0,0,1,0
232,C,25,0,0,11,3299,22,0,0,0,1,0
233,A,100,1,1,5,110,12,0,1,0,0,0
234,C,50,0,0,1,628,6,2,0,0,1,0
235,B,75,0,0,1,96,5,1,0,1,0,0
236,C,50,1,0,1,163,13,0,0,0,1,0
237,A,75,1,0,47,180,14,0,1,0,0,0
238,B,50,0,0,76,774,7,2,0,1,0,0
239,B,50,0,0,40,805,11,2,0,1,0,0
240,C,50,0,0,29,932,20,2,0,0,1,0
241,B,75,0,0,1,55,16,1,0,1,0,0
242,D,75,0,0,5,96,8,1,0,0,0,1
243,C,25,1,0,1,280,5,0,0,0,1,0
244,B,75,0,0,37,45,5,1,0,1,0,0
245,B,50,0,0,1,934,19,2,0,1,0,0
246,B,75,0,0,66,36,13,1,0,1,0,0
247,A,75,0,0,2,109,14,1,1,0,0,0
248,D,75,0,0,51,17,11,1,0,0,0,1
249,C,50,0,0,51,762,15,0,0,0,1,0
250,A,25,0,0,22,994,21,0,1,0,0,0
251,D,50,0,0,76,605,20,0,0,0,0,1
253,A,100,0,0,73,101,9,0,1,0,0,0
254,B,50,0,0,74,957,20,2,0,1,0,0
255,D,100,1,1,1,527,4,0,0,0,0,1
256,B,25,0,0,20,1283,4,0,0,1,0,0
257,D,50,0,0,48,304,1,0,0,0,0,1
258,A,75,1,0,1,99,17,0,1,0,0,0
259,C,50,0,0,25,702,10,3,0,0,1,0
260,A,75,0,0,41,85,4,1,1,0,0,0
261,D,75,0,0,35,809,17,2,0,0,0,1
262,D,25,0,0,32,2814,3,0,0,0,0,1
263,C,100,0,0,37,22,5,0,0,0,1,0
264,A,25,0,0,70,2979,14,0,1,0,0,0
265,C,25,0,0,1,492,3,0,0,0,1,0
266,D,50,0,0,43,1989,1,0,0,0,0,1
267,D,50,0,0,61,185,15,0,0,0,0,1
268,C,50,0,0,35,795,12,3,0,0,1,0
269,A,25,0,0,48,1426,16,0,1,0,0,0
270,C,25,0,0,9,3093,1,0,0,0,1,0
271,D,50,0,0,7,647,4,0,0,0,0,1
272,A,50,0,0,1,864,8,2,1,0,0,0
273,C,50,0,0,69,847,5,2,0,0,1,0
274,B,25,0,0,36,40,13,0,0,1,0,0
275,B,25,0,0,40,2936,13,0,0,1,0,0
277,D,50,0,0,1,796,22,0,0,0,0,1
278,C,25,0,0,39,2726,12,0,0,0,1,0
279,B,50,0,0,52,893,14,2,0,1,0,0
280,A,100,0,0,31,117,4,0,1,0,0,0
281,A,100,1,1,1,143,7,1,1,0,0,0
282,C,75,0,0,74,105,21,1,0,0,1,0
283,D,75,1,0,22,86,11,0,0,0,0,1
284,A,75,0,0,1,18,17,1,1,0,0,0
285,D,25,0,0,1,3241,3,0,0,0,0,1
286,A,75,0,0,52,35,4,1,1,0,0,0
287,B,25,0,0,1,1263,23,0,0,1,0,0
288,C,75,0,0,41,79,13,1,0,0,1,0
289,B,25,0,0,1,1949,14,0,0,1,0,0
290,C,50,0,0,39,655,1,3,0,0,1,0
291,B,75,0,0,66,21,21,1,0,1,0,0
292,C,50,0,0,51,702,18,3,0,0,1,0
293,A,75,0,0,7,113,16,1,1,0,0,0
294,C,50,0,0,1,689,16,0,0,0,1,0
295,B,25,0,0,76,2992,13,0,0,1,0,0
296,B,25,0,0,22,2792,15,0,0,1,0,0
297,D,100,0,0,32,45,5,1,0,0,0,1
298,C,25,0,0,1,1774,19,0,0,0,1,0
299,C,100,0,0,17,43,15,0,0,0,1,0
300,A,100,1,0,1,118,7,2,1,0,0,0
301,C,25,0,0,35,2007,10,0,0,0,1,0
302,C,75,0,0,25,99,12,1,0,0,1,0
303,A,100,0,0,35,80,12,0,1,0,0,0
304,B,25,0,0,1,1480,19,0,0,1,0,0
305,C,75,1,1,17,2556,23,0,0,0,1,0
306,B,50,0,0,74,728,15,2,0,1,0,0
307,C,50,0,0,1,956,1,0,0,0,1,0
308,D,50,0,0,70,1,6,0,0,0,0,1
309,A,75,0,0,1,120,1,1,1,0,0,0
310,A,50,0,0,28,963,13,2,1,0,0,0
311,B,50,0,0,8,836,23,2,0,1,0,0
312,B,50,0,0,24,623,23,2,0,1,0,0
313,C,75,1,0,5,153,16,0,0,0,1,0
314,C,25,0,0,31,489,22,0,0,0,1,0
315,B,25,0,0,1,2829,1,0,0,1,0,0
316,D,50,0,0,49,1965,15,0,0,0,0,1
317,A,25,0,0,53,46,9,0,1,0,0,0
318,C,50,0,0,55,990,1,0,0,0,1,0
319,B,25,0,0,1,73,11,0,0,1,0,0
320,C,50,0,0,1,896,1,0,0,0,1,0
321,C,75,0,0,1,63,4,1,0,0,1,0
322,A,25,0,0,49,3199,15,0,1,0,0,0
323,D,50,0,0,77,741,9,0,0,0,0,1
324,D,75,0,0,1,84,5,1,0,0,0,1
325,B,50,0,0,29,711,3,2,0,1,0,0
326,C,25,1,1,20,182,16,0,0,0,1,0
327,D,50,0,0,42,630,11,0,0,0,0,1
328,D,75,1,0,3,100,3,0,0,0,0,1
329,A,25,0,0,38,2896,8,0,1,0,0,0
330,B,50,0,0,2,729,22,2,0,1,0,0
331,C,50,0,0,25,630,10,2,0,0,1,0
332,D,50,0,0,29,934,1,0,0,0,0,1
333,C,25,0,0,56,821,6,0,0,0,1,0
334,C,50,0,0,1,647,13,0,0,0,1,0
335,C,50,0,0,50,645,20,3,0,0,1,0
336,B,50,0,0,42,866,7,2,0,1,0,0
337,A,25,1,1,4,592,3,2,1,0,0,0
338,A,75,0,0,1,0,19,1,1,0,0,0
339,C,25,0,0,36,225,20,0,0,0,1,0
340,C,75,0,0,32,76,23,1,0,0,1,0
341,A,75,1,1,8,664,9,0,1,0,0,0
342,C,75,0,0,1,93,18,1,0,0,1,0
343,A,25,0,0,1,1776,17,0,1,0,0,0
344,C,25,0,0,71,2517,3,0,0,0,1,0
345,B,25,0,0,1,1680,8,0,0,1,0,0
346,D,75,0,0,25,21,4,1,0,0,0,1
347,B,25,0,0,8,1466,10,0,0,1,0,0
348,C,50,0,0,51,953,10,3,0,0,1,0
349,A,100,1,0,47,209,7,0,1,0,0,0
350,C,75,0,0,1,20,21,1,0,0,1,0
351,C,50,0,0,54,934,15,0,0,0,1,0
352,A,100,1,0,1,204,3,0,1,0,0,0
353,C,100,0,0,40,97,3,0,0,0,1,0
354,C,25,0,0,6,3355,19,0,0,0,1,0
355,D,50,0,0,36,322,5,0,0,0,0,1
356,A,100,0,0,19,77,21,0,1,0,0,0
357,C,75,1,0,31,137,5,2,0,0,1,0
358,B,50,1,0,1,222,10,0,0,1,0,0
359,B,25,0,0,57,309,1,0,0,1,0,0
360,C,50,0,0,49,995,22,0,0,0,1,0
361,C,50,0,0,1,682,22,0,0,0,1,0
362,C,75,0,0,12,19,7,1,0,0,1,0
363,D,100,0,0,44,48,19,0,0,0,0,1
364,B,50,0,0,1,829,16,2,0,1,0,0
365,D,25,0,0,41,2044,3,0,0,0,0,1
366,C,25,0,0,3,2363,2,0,0,0,1,0
367,C,50,0,0,37,903,1,0,0,0,1,0
368,D,100,0,0,18,81,9,1,0,0,0,1
369,B,25,0,0,5,2439,4,0,0,1,0,0
370,C,25,0,0,1,2280,14,0,0,0,1,0
371,A,100,1,0,3,170,17,0,1,0,0,0
372,A,50,0,0,7,761,14,2,1,0,0,0
373,A,75,0,0,76,55,5,1,1,0,0,0
374,C,75,0,0,23,101,22,1,0,0,1,0
375,C,50,0,0,1,889,20,2,0,0,1,0
376,B,50,1,0,1,254,4,0,0,1,0,0
377,D,75,1,1,17,261,11,0,0,0,0,1
378,B,25,0,0,79,1171,12,0,0,1,0,0
379,D,25,0,0,1,984,11,0,0,0,0,1
380,A,25,0,0,1,196,17,0,1,0,0,0
381,B,25,0,0,30,3034,16,0,0,1,0,0
382,C,50,0,0,31,959,7,0,0,0,1,0
383,D,100,1,0,7,263,7,0,0,0,0,1
384,C,50,0,0,19,814,12,0,0,0,1,0
385,B,25,0,0,43,2243,23,0,0,1,0,0
386,A,75,0,0,1,29,20,1,1,0,0,0
387,D,75,1,0,2,83,13,0,0,0,0,1
388,C,25,1,1,9,667,7,0,0,0,1,0
389,C,50,0,0,76,919,19,2,0,0,1,0
390,B,25,0,0,76,609,16,0,0,1,0,0
391,C,50,0,0,27,792,1,0,0,0,1,0
392,C,25,0,0,11,1401,20,0,0,0,1,0
393,C,25,0,0,1,2022,18,0,0,0,1,0
394,D,25,0,0,17,189,18,0,0,0,0,1
395,C,50,0,0,60,994,19,0,0,0,1,0
396,C,25,0,0,18,1992,21,0,0,0,1,0
397,C,100,0,0,51,60,13,0,0,0,1,0
398,A,50,0,0,1,814,9,2,1,0,0,0
399,C,75,0,0,50,67,7,1,0,0,1,0
400,A,100,0,0,32,85,12,0,1,0,0,0
401,C,50,0,0,62,913,22,0,0,0,1,0
402,D,50,0,0,1,601,3,0,0,0,0,1
403,D,50,0,0,73,3200,5,0,0,0,0,1
404,C,50,0,0,73,656,10,3,0,0,1,0
405,D,50,0,0,1,156,18,0,0,0,0,1
406,D,50,0,0,50,2570,19,0,0,0,0,1
407,A,100,0,0,11,113,16,0,1,0,0,0
408,A,100,1,0,2,277,2,0,1,0,0,0
409,C,25,0,0,50,316,1,0,0,0,1,0
410,B,25,0,0,1,1174,3,0,0,1,0,0
411,B,25,1,0,29,290,15,0,0,1,0,0
412,C,50,0,0,23,748,11,2,0,0,1,0
413,C,100,0,0,1,2,8,0,0,0,1,0
414,C,25,0,0,64,1771,23,0,0,0,1,0
415,D,25,1,1,7,322,14,0,0,0,0,1
416,B,25,0,0,1,1396,10,0,0,1,0,0
417,D,75,1,1,12,685,13,0,0,0,0,1
418,B,50,0,0,18,883,1,2,0,1,0,0
419,C,75,0,0,76,58,11,1,0,0,1,0
420,D,75,0,0,45,67,9,1,0,0,0,1
421,C,25,0,0,1,2822,14,0,0,0,1,0
422,D,50,0,0,67,77,3,0,0,0,0,1
423,C,50,0,0,73,906,23,0,0,0,1,0
424,D,100,1,0,1,297,23,0,0,0,0,1
425,C,50,0,0,7,976,18,2,0,0,1,0
426,C,25,0,0,1,3115,9,0,0,0,1,0
427,D,50,0,0,9,1220,18,0,0,0,0,1
428,C,25,0,0,66,411,3,0,0,0,1,0
429,B,25,0,0,12,1832,15,0,0,1,0,0
430,C,25,0,0,42,2579,21,0,0,0,1,0
431,B,100,0,0,14,60,15,0,0,1,0,0
432,D,50,1,0,1,144,4,1,0,0,0,1
433,C,50,0,0,24,615,15,2,0,0,1,0
434,B,75,1,0,29,283,4,0,0,1,0,0
435,C,75,0,0,72,29,16,1,0,0,1,0
436,C,50,0,0,1,820,23,3,0,0,1,0
437,A,25,0,0,2,2630,20,0,1,0,0,0
438,B,25,1,0,1,77,5,2,0,1,0,0
439,A,100,0,0,11,25,18,0,1,0,0,0
440,C,50,0,0,27,916,19,3,0,0,1,0
441,B,25,0,0,17,1097,22,0,0,1,0,0
442,C,50,0,0,54,929,15,0,0,0,1,0
443,C,50,0,0,18,848,6,0,0,0,1,0
444,D,25,0,0,27,2508,14,0,0,0,0,1
445,C,25,0,0,13,1420,21,0,0,0,1,0
446,C,50,0,0,1,704,23,0,0,0,1,0
447,B,25,0,0,1,3331,18,0,0,1,0,0
448,C,50,0,0,1,888,17,0,0,0,1,0
449,D,75,0,0,58,23,1,1,0,0,0,1
450,C,50,0,0,25,853,16,0,0,0,1,0
451,D,25,0,0,1,3181,3,0,0,0,0,1
452,A,75,0,0,63,97,3,1,1,0,0,0
453,C,25,0,0,1,1526,14,0,0,0,1,0
454,B,25,1,1,9,366,3,1,0,1,0,0
455,B,25,0,0,65,307,16,0,0,1,0,0
456,C,50,0,0,4,694,22,0,0,0,1,0
457,C,75,0,0,40,44,14,1,0,0,1,0
458,D,100,0,0,29,27,15,0,0,0,0,1
459,C,50,0,0,34,770,19,2,0,0,1,0
460,C,25,0,0,61,1502,3,0,0,0,1,0
461,B,50,0,0,1,991,10,2,0,1,0,0
462,B,50,0,0,38,898,22,2,0,1,0,0
463,C,50,0,0,61,771,10,0,0,0,1,0
464,B,25,0,0,12,644,21,0,0,1,0,0
465,A,100,1,0,44,180,11,0,1,0,0,0
466,A,50,0,0,1,927,9,2,1,0,0,0
467,D,25,0,0,1,2466,5,0,0,0,0,1
469,A,50,1,1,1,249,18,0,1,0,0,0
470,B,25,0,0,68,1161,15,0,0,1,0,0
471,C,50,0,0,1,782,20,0,0,0,1,0
472,D,75,1,0,3,143,2,1,0,0,0,1
473,C,25,0,0,53,920,4,0,0,0,1,0
474,C,50,0,0,6,920,8,0,0,0,1,0
475,A,50,0,0,10,688,1,2,1,0,0,0
476,C,25,0,0,42,194,5,0,0,0,1,0
477,C,50,0,0,77,756,22,3,0,0,1,0
478,D,50,0,0,30,3013,2,0,0,0,0,1
479,C,50,0,0,65,946,4,0,0,0,1,0
480,C,100,1,0,3,107,21,0,0,0,1,0
481,C,50,0,0,66,914,4,3,0,0,1,0
482,C,50,0,0,1,844,15,0,0,0,1,0
483,C,25,0,0,54,521,4,0,0,0,1,0
484,D,50,0,0,26,772,9,0,0,0,0,1
485,B,25,0,0,70,891,18,0,0,1,0,0
487,A,25,0,0,1,2922,12,0,1,0,0,0
488,C,50,0,0,76,963,1,0,0,0,1,0
489,C,75,1,0,1,166,7,0,0,0,1,0
490,B,25,1,0,6,97,5,0,0,1,0,0
491,C,75,1,1,34,212,21,0,0,0,1,0
492,C,50,0,0,55,763,13,0,0,0,1,0
493,C,25,1,0,1,225,21,0,0,0,1,0
494,A,75,1,0,1,218,14,0,1,0,0,0
495,D,75,0,0,26,120,5,2,0,0,0,1
496,C,75,0,0,33,108,21,1,0,0,1,0
497,A,50,0,0,67,710,10,2,1,0,0,0
498,C,25,0,0,31,1889,7,0,0,0,1,0
499,C,75,0,0,57,19,5,1,0,0,1,0
500,C,50,0,0,1,736,21,0,0,0,1,0
501,B,50,0,0,58,796,17,2,0,1,0,0
502,C,50,0,0,62,704,11,0,0,0,1,0
503,A,50,0,0,55,752,15,2,1,0,0,0
504,A,100,0,0,1,57,2,0,1,0,0,0
505,C,50,0,0,5,884,5,0,0,0,1,0
506,C,25,0,0,13,312,1,0,0,0,1,0
507,B,25,0,0,1,2235,9,0,0,1,0,0
508,A,75,0,0,1,54,2,1,1,0,0,0
509,C,50,0,0,49,764,18,2,0,0,1,0
510,A,100,1,0,12,92,9,1,1,0,0,0
511,B,25,0,0,49,2042,3,0,0,1,0,0
512,B,25,0,0,14,3225,2,0,0,1,0,0
513,C,25,0,0,54,1020,17,0,0,0,1,0
514,B,25,0,0,54,866,13,0,0,1,0,0
515,C,25,0,0,32,2700,3,0,0,0,1,0
516,C,25,0,0,11,2218,6,0,0,0,1,0
517,C,75,0,0,56,53,11,1,0,0,1,0
518,B,50,0,0,9,720,5,2,0,1,0,0
519,B,25,0,0,1,1867,20,0,0,1,0,0
520,D,75,1,0,1,107,16,0,0,0,0,1
521,B,25,0,0,70,3332,8,0,0,1,0,0
522,D,50,0,0,30,1504,2,0,0,0,0,1
523,C,75,0,0,34,69,12,1,0,0,1,0
524,D,25,0,0,2,1710,23,0,0,0,0,1
525,B,50,0,0,24,784,2,2,0,1,0,0
526,C,25,0,0,1,2689,13,0,0,0,1,0
527,B,25,0,0,1,726,18,0,0,1,0,0
528,C,50,1,0,1,156,3,0,0,0,1,0
529,B,50,0,0,1,731,13,2,0,1,0,0
530,C,50,0,0,58,973,17,2,0,0,1,0
531,C,50,0,0,49,759,9,3,0,0,1,0
532,C,50,0,0,74,817,17,2,0,0,1,0
533,D,50,1,0,8,221,14,0,0,0,0,1
534,C,75,0,0,6,65,1,1,0,0,1,0
